013ae324-9d336f91,1,0,0,0,16.55023169517517
02d721b2-3c9348b6,1,0,1,0,6.899055242538452
01f2bc5a-5a845805,0,0,1,0,4.300504207611084
03700615-8ffdb01d,0,0,0,1,19.065754175186157
02ef72c1-a37b71ce,1,1,0,0,3.2757883071899414
0141e71e-941b0b5d,1,1,0,0,2.8262784481048584
02ddf9bc-a85b5d96,1,0,0,0,4.477194547653198
0096bcca-fc7d6d3c,1,0,1,0,2.45459246635437
012c8623-1782dc8b,0,0,1,0,2.468796968460083
008edf63-4a001f1b,1,1,1,0,2.8129308223724365
02ddd956-37234391,0,1,0,0,2.7093605995178223
02d5e1be-cb00355e,1,1,0,0,2.258700370788574
02a26ce5-42f8fd75,0,0,1,0,4.83567476272583
00f28fce-a799f8a1,0,1,1,0,6.548406362533569
02ae4a52-e4715e65,1,0,0,0,1.7198476791381836
02e3a54e-b6820916,0,0,1,1,9.881436347961426
0080b637-55f7930e,0,0,0,0,9.859550476074219
029fd987-078c287a,0,0,1,0,7.0850207805633545
024817df-f92d7680,1,1,1,0,1.7466802597045898
02cc2722-171d6b7f,1,1,1,0,1.4743132591247559
02f08b1d-16200b45,1,0,1,0,1.9110171794891357
00202076-7a95b4e3,0,0,1,0,8.343071460723877
007ae77f-79995643,1,1,1,0,1.846149206161499
01d3a4d7-b6a3dfb5,0,0,1,1,8.892224550247192
0250f554-b900f677,0,0,0,0,13.798231601715088
0153f03b-8fbdc1ad,0,1,0,0,22.325397491455078
027bf15c-291f196d,0,1,0,0,4.102308511734009
0185631d-eabb8700,1,0,0,0,9.715992450714111
019c4fa9-f05e5f04,0,1,0,0,5.099306583404541
0320143b-ca3ebac1,1,0,0,0,5.39267635345459
001bad4e-2fa8f3b6,0,1,0,0,3.083678722381592
00207869-902288d1,0,1,0,0,2.7101781368255615
013b7dd3-80000bcd,1,1,1,0,2.330885171890259
00313a01-b53a2998,1,0,0,0,9.823455333709717
02006c28-c2c5e796,1,0,1,0,4.8482513427734375
022da1b8-ab52d480,0,0,0,0,5.802304267883301
035d6940-18869b73,0,0,1,0,2.667062520980835
00ffeef4-ea139a4e,1,1,0,0,7.739994764328003
00f89335-2ef7949d,1,0,1,0,32.153990268707275
01051f5c-0ec95f5c,1,0,0,0,3.984099864959717
01a4deab-40dbb1f3,0,0,1,0,2.3280189037323
026e1e49-771df1d9,1,1,0,0,3.428194999694824
035ce917-9a3d2152,1,1,1,0,2.9955756664276123
0386df8d-be9fc817,1,1,1,0,2.0991621017456055
005ee183-bcfab89f,1,0,1,0,4.286958694458008
01eb2be1-ca02b2ac,1,0,1,0,3.82769513130188
036bac72-8dd5fedc,1,0,1,0,2.351001262664795
017e2d3b-765af5a6,1,1,1,0,1.694223165512085
00225f53-4200bde2,0,0,1,0,3.019019842147827
00f89335-1825f637,0,1,1,0,5.218977451324463
